strategy,input_text,true_label,predicted_label,response_time,rationale,target_group_norm,persona_tag,source_dataset,status
baseline,tfw how the daily stormer protects a spic like he some kind of god,normal,hate,2.8855624198913574,"Uses a derogatory slur ('spic') targeting a specific ethnic group, which is hateful language.",mexican,hispanic,canned_100_all,success
baseline,4 ft tall beaner women still dispensing <number> beanlets per year each it ogre,normal,normal,3.0031800270080566,No rationale provided,mexican,hispanic,canned_100_all,success
baseline,as much as i appreciate a format of open discussion i really just want a facebook that i can say beaner on,normal,hate,3.0016069412231445,"The text uses a racial slur ('beaner') targeting a specific ethnic group, indicating hateful intent.",mexican,hispanic,canned_100_all,success
baseline,build great wall made by prison or shitskin labor using kilms dig out moats filled with gators or flooded with rushing water fact wet backs cant swim in raging waters illegal immigration solved border patrol do their jobs where no wall or moats,normal,hate,3.173229455947876,"The text uses derogatory slurs and dehumanizing language toward immigrants, constituting hateful content.",mexican,hispanic,canned_100_all,success
baseline,ok not only did i report that spic to ✝️ president trump 🇺 🇸 i sent a warning for him to make sure the ice deportation team that he sends has far sighted agents go get her since she such an ugly spic facially,normal,hate,3.161212921142578,"The text uses a racial slur and demeaning language targeting an individual, which constitutes hateful content.",mexican,hispanic,canned_100_all,success
baseline,white guy puts ied in mall and the response is fuck all muzzies and spics stay classy gab,normal,hate,3.0815675258636475,"The text uses derogatory slurs targeting specific groups and promotes hateful, violent sentiment.",mexican,hispanic,canned_100_all,success
baseline,cantwell is actually talking to federal agents and nehlen has a spic wife so what you are saying does not make sense the only reason i think you could be saying these things is if you are a subverter yourself,normal,normal,3.4521842002868652,No rationale provided,mexican,hispanic,canned_100_all,success
baseline,like i care <tong> is bitching to a stupid beaner like me going to fix that nope good luck,normal,hate,3.505398988723755,"Uses a derogatory slur ('beaner') and hostile language, targeting a group, which meets the criteria for hate content.",mexican,hispanic,canned_100_all,success
baseline,ahaahaha towel heads are too fucking stupid i will admit jews can be smart because no dummy can be this manipulative to convince people like you to support their asses even though they are responsible for the demise of western culture although they have not done much else,normal,hate,0.7210509777069092,"The text contains derogatory slurs and attacks toward groups, using hateful language and stereotypes.",middle_east,arab,canned_100_all,success
baseline,<number> yr ago muslims shot killed whites blacks latinos asians christians jews for the fact they were non muslim americans sanbernardino,normal,hate,0.7575531005859375,"The text promotes violence and hostility toward multiple religious and ethnic groups, constituting hate speech.",middle_east,arab,canned_100_all,success
baseline,<user> <user> <user> lol no one is supporting bhikharistan except pro muslim countries like turkey malaysia no one gives a fuck about porkistan,normal,hate,0.977170467376709,"The text uses derogatory language and dismissive, hostile remarks toward specific countries and religious groups, constituting hateful content.",middle_east,arab,canned_100_all,success
baseline,you have a spic in a spic area he d have had to be the shooter himself almost to get fired a little bit of sexual harassment eyy mamasita joo bee lookin good is nothing to those muds best to deport them all,normal,hate,0.9929676055908203,"The text uses derogatory slur 'spic', calls for deportation of a group, and includes sexual harassment remarks, targeting a protected group, which constitutes hate speech.",mexican,hispanic,canned_100_all,success
baseline,<user> <user> <user> evidence this with links and articles show me a greater number of violated females by white men than mass murdered genocides of females at the hands of muslims muslim men have killed far more females with their misogyny and genocides than white men,normal,hate,1.0659353733062744,"The text attacks a specific religious group (Muslims) by accusing them of widespread misogyny and genocide, which constitutes hateful language toward that group.",middle_east,arab,canned_100_all,success
baseline,pro white married to a wetback he the best there is eat a fucking tide pod,normal,normal,1.3617842197418213,"Text analysis fallback: {""final}{""

 	

 	



 	



 	



 	



 	



 	



 	



 	



 	



 	



 	



 	



 	



 	



",mexican,hispanic,canned_100_all,success
baseline,or the construction company hired some raghead sleeper cell asshole,normal,hate,1.3276655673980713,"Uses derogatory slur and insulting language targeting a group, which constitutes hateful content.",middle_east,arab,canned_100_all,success
baseline,gab went down for <number> seconds the instant i called out fuentes for being a spic again sorry guys,normal,hate,1.4623322486877441,"Uses a derogatory slur ('spic') to insult a person, which is hateful language.",mexican,hispanic,canned_100_all,success
baseline,they are lighter skinned arabs with phoenician and other relict populations mixed in hardly white but still i support them and their right to exist in the face of kike oppression,normal,normal,0.6887481212615967,No rationale provided,middle_east,arab,canned_100_all,success
baseline,that is about the most faggot ass looking shit a man could wear bet ya any sumbitch that dons this bs is packing a man purse too,normal,hate,0.6154584884643555,"The text uses homophobic slur and demeaning language targeting a group, constituting hateful content.",lgbtq,homosexual,canned_100_all,success
baseline,i will stop caring for the arabs when i see militias cleaning house in dearborn michigan,normal,normal,0.7219982147216797,No rationale provided,middle_east,arab,canned_100_all,success
baseline,you mean more rapes and more sand niggers because that what you want sjw more curry niggers getting gibs killing whitey look at you you dirty race traitor curry nigger,normal,normal,0.7405552864074707,No rationale provided,middle_east,arab,canned_100_all,success
baseline,did you offa to say which dyke it was btw british history offa dyke <happy>,normal,normal,1.0976321697235107,No rationale provided,lgbtq,homosexual,canned_100_all,success
baseline,i am so glad to hear that <user> has joined the white supremacist movement with her towelhead comments now we can attack her with impunity cancel lily singh,normal,hate,2.220322847366333,"The text uses a derogatory slur and calls for attacking and canceling an individual, which constitutes hateful and harassing language.",middle_east,arab,canned_100_all,success
baseline,without the jews we would not have all those illegals and arabs ur gay,normal,hate,2.4398651123046875,"The text attacks and disparages multiple groups (Jews, illegal immigrants, Arabs) and uses derogatory language, which meets the criteria for hate content.",middle_east,arab,canned_100_all,success
baseline,you can change your heart but you can not change your fellow man heart if a group of people participates in honor killings genital mutilations treating women as property and legal pedophilia the chances of you changing that are remote we have got our nation and they have got theirs trump maga,normal,normal,2.695077419281006,The text criticizes harmful practices and political views without targeting a protected group with hateful language; it does not constitute hate speech.,middle_east,arab,canned_100_all,success
baseline,dont try to follow me cunts i aint blind bitch faggot sandniggers,normal,hate,0.620354175567627,"The text uses multiple slurs and derogatory language targeting groups, which is clearly hateful.",lgbtq,homosexual,canned_100_all,success
baseline,keywords downvote copy pasted faggot link andrew torba muting retarded ass fuck off,normal,hate,0.7106397151947021,"The text uses slurs and offensive language targeting protected groups, which constitutes hateful content.",lgbtq,homosexual,canned_100_all,success
baseline,if the greeks from <number> years ago could see the olympics now they d throw up it all about more msm promotion of gays blacks and those who hate whitey back then it was a statement of see do not mess with my country we will f you up,normal,hate,0.6500253677368164,"The text contains derogatory language and attacks against specific groups (gays, blacks, etc.), which meets the criteria for hate content.",lgbtq,homosexual,canned_100_all,success
baseline,<user> <user> i ’ m super gay fuck,normal,normal,0.9043698310852051,"The text uses profanity and mentions being gay, but it does not target or attack any protected group; it's not hate speech.",lgbtq,homosexual,canned_100_all,success
baseline,you can not speak abt lesbian issues you are a kpop stan ah yes i forgot jungkook took away my dyke card,normal,hate,1.022193193435669,"The text uses a derogatory slur ('dyke') and dismissively attacks someone for discussing lesbian issues, which constitutes hateful language.",lgbtq,homosexual,canned_100_all,success
baseline,i want roy moore to win even if it only to hear all the kikes commie faggot scum screaming about inbred misogynistic toothless alabama hillbilly white trash,normal,hate,2.3157193660736084,"The text uses multiple slurs and derogatory language targeting ethnic, sexual, and regional groups, constituting hateful content.",lgbtq,homosexual,canned_100_all,success
baseline,<user> we have all been raped by these assholes cathy obrian came out years ago,normal,hate,2.3557751178741455,"The text uses vulgar insults and a violent metaphor ('raped') directed at a group/person, constituting hateful and aggressive language.",lgbtq,homosexual,canned_100_all,success
baseline,in every female bestie you will always find one lesbian 😊 😋 🤗,normal,normal,2.877588987350464,"Text analysis fallback: {""final}{""

    

    

    

    

    

    

    

    

    

    

    

    

    

    

    ",lgbtq,homosexual,canned_100_all,success
baseline,everyone who likes rae rae is either an idiot or an actual rapist who does it for the sexual thrill - i honestly have no idea how,hate,hate,0.7387566566467285,"The text attacks a group of people based on their preferences, labeling them as idiots or rapists, which is hateful and demeaning.",lgbtq,lgbtq,canned_100_all,success
baseline,i have been fired multiple times because i support the right to marry and do not support discrimination against gay people,hate,normal,0.7033073902130127,The text expresses personal experience and support for gay rights without attacking or targeting any group.,lgbtq,lgbtq,canned_100_all,success
baseline,"trans people are men, they should not be allowed in women's restrooms, locker rooms, women's sports, competitions, or on women's teams",hate,hate,0.7715060710906982,"The statement attacks and discriminates against trans people, a protected group, by denying them access to spaces and activities, which constitutes hate speech.",lgbtq,lgbtq,canned_100_all,success
baseline,so you want to be a girl because you don't like yourself as a boy? i don't really like myself right now either but i don't,hate,normal,0.8376357555389404,"The text expresses personal feelings and questioning identity without attacking or targeting any protected group, so it is not hateful.",lgbtq,lgbtq,canned_100_all,success
baseline,shout out to my other queer babes with trauma struggling with expressing your sexuality is not homophobic 😘 🥰 😘 k love u all,normal,normal,0.9288220405578613,The text expresses support and affection toward queer individuals and does not contain hateful or attacking language.,lgbtq,homosexual,canned_100_all,success
baseline,"the sexuality of lgbt people is beyond fixed and unchanging - lgbt people just want toÂ injectÂ subjectiveÂ """,hate,normal,1.0619769096374512,No rationale provided,lgbtq,lgbtq,canned_100_all,success
baseline,You are a bigot if you believe that gender is dictated by sex (and does not include a third option) - You are a bigot if you,hate,hate,1.1647284030914307,"The text directly insults and labels the person a 'bigot' for their belief, constituting a hostile personal attack.",lgbtq,lgbtq,canned_100_all,success
