strategy,persona_tag,sample_count,false_positive_rate,false_negative_rate,true_positive,true_negative,false_positive,false_negative
direct_binary,lgbtq,49,0.2,0.42105263157894735,11,24,6,8
direct_binary,mexican,22,0.2,0.5833333333333334,5,8,2,7
direct_binary,middle_east,29,0.23076923076923078,0.5625,7,10,3,9
multi_perspective,lgbtq,49,0.2,0.5789473684210527,8,24,6,11
multi_perspective,mexican,22,0.2,0.6666666666666666,4,8,2,8
multi_perspective,middle_east,29,0.15384615384615385,0.6875,5,11,2,11
cultural_context,lgbtq,49,0.13333333333333333,0.6842105263157895,6,26,4,13
cultural_context,mexican,22,0.2,0.5833333333333334,5,8,2,7
cultural_context,middle_east,29,0.0,0.8125,3,12,0,13
hybrid_fast_accurate,lgbtq,49,0.4666666666666667,0.3684210526315789,12,16,14,7
hybrid_fast_accurate,mexican,22,0.2,0.4166666666666667,7,8,2,5
hybrid_fast_accurate,middle_east,29,0.38461538461538464,0.375,10,8,5,6
